Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
5;32;24;13.4253;14.315282999999997;7581.696;7102.628;0.06629147952001069;0.0674494004191124;0.0019903182983398438;0.0007092952728271484
5;64;25;12.3381;19.37143500000001;7761.92;1783.573;0.5700500887494839;3.35189364270484;0.0019943714141845703;0.0007758140563964844
5;96;26;12.2127;20.052998999999996;12430.336;2352.637;0.6419791692254779;4.283575834265974;0.00205230712890625;0.0007481575012207031
5;128;27;16.1049;24.48914900000001;18318.336;3002.088;0.520602363255904;5.101865101889085;0.0020143985748291016;0.0007431507110595703
5;160;28;20.028299999999998;33.32687800000001;25828.352;3728.795;0.6639893550625866;5.926728876218725;0.0020160675048828125;0.0007450580596923828
6;8;29;12.1359;12.119331;111.616;9.304;0.0013671546721514272;10.996560619088564;0.00041794776916503906;0.00033354759216308594
6;16;30;6.79636;6.772449;220.16;18.371;0.003530628285277615;10.98410538348484;0.0003914833068847656;0.0001277923583984375
6;32;31;6.06023;6.0185249999999995;430.08;36.504;0.006929438691373635;10.78172255095332;0.00038623809814453125;0.0001461505889892578
6;64;32;6.42929;6.335749;822.272;72.771;0.014764000278420175;10.29944620796746;0.00039124488830566406;0.00012755393981933594
6;96;33;7.11622;7.044465;1264.64;109.038;0.010186011286875685;10.59815844017682;0.00037384033203125;0.00015306472778320312
6;128;34;7.59796;7.559484;1662.976;145.304;0.005089765386103062;10.444805373561636;0.00039005279541015625;0.0001285076141357422
6;160;35;7.384270000000001;7.294881;2062.336;181.573;0.012253661163218466;10.358164484807764;0.0003876686096191406;0.00014257431030273438
7;8;36;25.0036;32.869127000000006;3097.6;2767.411;0.3145757810875238;0.11931332209057488;0.002136707305908203;0.0007982254028320312
7;16;37;19.3179;21.775914999999994;6215.68;5514.949;0.1272402797405512;0.12706028650491596;0.0021390914916992188;0.0005347728729248047
7;32;38;16.368100000000002;21.261678;12364.8;11002.173;0.2989704363976271;0.12385071567225858;0.0024061203002929688;0.0006756782531738281
7;64;39;25.731;43.247278000000016;10683.392;4725.803;0.6807461039213405;1.2606511528305346;0.002212047576904297;0.0007975101470947266
7;96;40;16.6965;30.721863000000006;16447.488;5208.672;0.8400181475159467;2.157712368910924;0.0023796558380126953;0.0008454322814941406
7;128;41;20.252200000000002;36.909724000000004;24325.12;5738.105;0.8225044192729678;3.239225319160245;0.0021491050720214844;0.0008771419525146484
7;160;42;22.8601;47.828449;30114.816;6344.553;1.0922239622748808;3.7465622873668165;0.0021398067474365234;0.0007905960083007812
8;8;43;21.4593;26.966682000000002;2427.904;2345.323;0.25664313374620806;0.03521092830283923;0.0023255348205566406;0.001119852066040039
8;16;44;17.3062;24.376159;4973.568;4634.181;0.40852174365256366;0.0732355943801073;0.002315998077392578;0.0008428096771240234
8;32;45;16.5435;15.891751999999999;9172.992;9295.193;0.04101171475618304;0.013321825637698126;0.0021398067474365234;0.0008723735809326172
8;64;46;16.9863;18.324626000000002;18561.024;18614.735;0.0787885531281094;0.0028937519826492952;0.0021615028381347656;0.0008087158203125
8;96;47;12.4656;17.899348999999997;9204.736;2466.599;0.4358995154665639;2.7317521007670886;0.0022516250610351562;0.0008106231689453125
8;128;48;21.7925;22.806482;9586.688;2897.184;0.046528943443845394;2.308967604404829;0.002339601516723633;0.0008270740509033203
8;160;49;14.9449;21.078503999999995;16463.872;3297.108;0.41041452267997736;3.9934281800899454;0.002213001251220703;0.0008442401885986328
10;8;50;23.097;33.201080999999995;7170.048;6789.281;0.43746291726198194;0.05608355288284583;0.0014579296112060547;0.0005795955657958984
10;16;51;13.8174;21.684008000000002;8910.848;8019.29;0.5693262118777775;0.11117667524182306;0.0014638900756835938;0.00048089027404785156
10;32;52;12.3907;21.218467;8357.888;5978.24;0.7124510318222537;0.3980516004710417;0.001542806625366211;0.00051116943359375
10;64;53;11.7144;20.822466999999996;11915.264;6317.669;0.77751032916752;0.8860222021761508;0.0015652179718017578;0.00047397613525390625
10;96;54;15.654399999999999;27.531963999999995;16474.112;6700.98;0.7587364574816025;1.4584630904733338;0.0015017986297607422;0.0006010532379150391
10;128;55;21.164900000000003;30.744173999999997;25790.464;7385.525;0.4526019022060108;2.492028528777575;0.0016384124755859375;0.00048160552978515625
10;160;56;22.8989;38.716034;32322.56;8017.195;0.6907377210259007;3.031654462689257;0.0016129016876220703;0.0005035400390625
