query_id;dop;actual_time;predicted_time_mapping;thread_wise_time;actual_memory;predicted_memory_mapping;thread_wise_memory;q_error_mapping;q_error_thread_wise;q_error_mem_mapping;q_error_mem_thread_wise;mapping_inference_time;thread_wise_inference_time;memory_mapping_inference_time;memory_thread_wise_inference_time;time_difference_thread_wise;time_difference_thread_wise_ratio;memory_difference_thread_wise;memory_difference_thread_wise_ratio;q_error_improvement_thread_wise;q_error_mem_improvement_thread_wise
19;64;2657.502;2689.404;4609.0333439999995;1103872;1334801;252736.0;0.012004506487671485;0.7343480245734526;0.2091990738056586;3.3676880222841223;0.009021282196044922;0.005333423614501953;0.005877256393432617;0.005280494689941406;1919.6293439999995;0.7137750014501353;-1082065.0;-0.8106564199457447;-0.7223435180857811;-3.158488948478464
20;64;635.7299999999998;1633.2084;2813.060908;4493312;5512904;244117.0;1.5690283610966929;3.424930250263478;0.22691324350501363;17.406387101267015;0.010284900665283203;0.0060350894927978516;0.006620645523071289;0.005795001983642578;1179.852508;0.7224139356618543;-5268787.0;-0.9557189822278784;-1.8559018891667853;-17.179473857762
22;64;30508.247;24702.942280000003;25597.15348;45689856;46585740;42771925.0;0.23500458585858763;0.191860924060842;0.019607940983661587;0.06822070785918566;0.008743762969970703;0.0054607391357421875;0.005843162536621094;0.005215644836425781;894.2111999999979;0.036198570593915416;-3813815.0;-0.08186657547996447;0.04314366179774565;-0.04861276687552407
23;64;19296391.713;19291937.927;27456756.412999995;16665600;16634824;16634824.0;0.00023086255081539164;0.4228958875509534;0.0018500947169624027;0.0018500947169624027;0.02467656135559082;0.015482425689697266;0.01761007308959961;0.015302181243896484;8164818.485999994;0.423224380925098;0.0;0.0;-0.42266502500013803;0.0
25;64;6364194.258;6361452.251999999;6367331.753072001;4430848;4873597;1151346.0;0.0004310345957778683;0.0004929917197384892;0.09992421315287725;2.8484069949433097;0.01222538948059082;0.0072519779205322266;0.007346391677856445;0.007053375244140625;5879.5010720016435;0.0009242388120028986;-3722251.0;-0.7637584724383243;-6.195712396062092e-05;-2.7484827817904325
26;64;3669.06;3924.1371599999998;4107.58966;3807232;4279997;278553.0;0.06952111985086096;0.1195209835761748;0.12417551649072078;12.667890850215219;0.01129913330078125;0.006754159927368164;0.007523059844970703;0.006699562072753906;183.45249999999987;0.04674976753360983;-4001444.0;-0.9349174777458956;-0.04999986372531384;-12.543715333724498
27;64;6004.429;5996.188220000001;6421.50492;4472832;4619092;497045.0;0.0013743364446954232;0.06946137925854412;0.03269964085393773;7.998847186874428;0.011716127395629883;0.0071353912353515625;0.007700204849243164;0.007038116455078125;425.3166999999994;0.07093117900825324;-4122047.0;-0.8923933534989128;-0.0680870428138487;-7.9661475460204905
29;64;8587749.361;8583988.093;8588695.136022;4163584;4771842;1051841.0;0.00043817255560574253;0.00011013072019716574;0.14609000322798815;2.9583777396013278;0.012287139892578125;0.0070514678955078125;0.007648944854736328;0.007092475891113281;4707.0430219992995;0.0005483515320620913;-3720001.0;-0.7795733806777341;0.0003280418354085768;-2.8122877363733396
30;64;10638.363000000001;10261.279;14533.686;372736;592298;592298.0;0.0367482455159831;0.36615812037998685;0.5890549879807692;0.5890549879807692;0.010637521743774414;0.00673985481262207;0.007526397705078125;0.007079362869262695;4272.406999999999;0.4163620344013645;0.0;0.0;-0.32940987486400375;0.0
31;64;2264.37;6866.877938;31944.902358000003;13826048;20816633;553205.0;2.0325776873920782;13.107633627896503;0.50560977366779;23.99263021845428;0.03583931922912598;0.022250652313232422;0.025321483612060547;0.022524595260620117;25078.02442;3.6520271142760485;-20263428.0;-0.9734248569401209;-11.075055940504424;-23.48702044478649
32;64;18586.111;18583.495000000003;18583.495;17408;11689;11689.0;0.00014077007581181356;0.0001407700758120356;0.48926341004363083;0.48926341004363083;0.00809168815612793;0.004681587219238281;0.005275726318359375;0.0047228336334228516;-3.637978807091713e-12;-1.9576397265916408e-16;0.0;0.0;-2.220446049250313e-16;0.0
33;64;26275091.111;26275115.028;52550232.62;162816;68552;68552.0;9.102537417149392e-07;1.000001918090399;1.3750729373322441;1.3750729373322441;0.018764972686767578;0.012057304382324219;0.013451337814331055;0.011855363845825195;26275117.591999996;1.0000000975828267;0.0;0.0;-1.0000010078366572;0.0
34;64;2324.611;2664.9148589999995;4279.339558999999;2146304;2675241;156522.0;0.1463917442531244;0.8408841561018163;0.24644085833134532;12.712474923652906;0.009226083755493164;0.005364894866943359;0.0059413909912109375;0.005339384078979492;1614.4246999999996;0.6058072341589956;-2518719.0;-0.9414923739580845;-0.6944924118486919;-12.46603406532156
35;64;13692.82;14852.009999999998;21074.123598000002;4421632;7679634;900214.0;0.08465677632511048;0.5390638011746305;0.7368324636695229;3.9117565378898798;0.017014265060424805;0.01026296615600586;0.011582374572753906;0.010618448257446289;6222.113598000004;0.41894084356258876;-6779420.0;-0.8827790491057256;-0.45440702484952;-3.174924074220357
38;64;6578.07;3064.6369999999997;10251.40586;12581888;16185583;5854773.0;1.1464434450148584;0.5584215218141493;0.2864192559971921;1.148996724552771;0.0206449031829834;0.01344752311706543;0.014121532440185547;0.013166666030883789;7186.768860000001;2.3450636600680608;-10330810.0;-0.638272343974264;0.5880219232007091;-0.8625774685555789
39;64;2522.34;3033.9389519999995;6993.595815;6959104;7230967;2039572.0;0.20282711767644312;1.7726618199766881;0.03906580502317536;2.412041349851832;0.014800548553466797;0.009111881256103516;0.010530948638916016;0.00909113883972168;3959.656863;1.3051208101566312;-5191395.0;-0.7179392465765644;-1.569834702300245;-2.3729755448286562
