query_id;base_execution_time;base_thread_count;base_cost;PPM_execution_time;PPM_thread_count;PPM_cost;PPM_time_ratio;PPM_cost_ratio;FGO_execution_time;FGO_thread_count;FGO_cost;FGO_time_ratio;FGO_cost_ratio;OPRO_execution_time;OPRO_thread_count;OPRO_cost;OPRO_time_ratio;OPRO_cost_ratio
76;3771.590000;323;1218223.570000;3771.590000;323.000000;1218223.570000;1.000000;1.000000;3523.700000;179;630742.300000;0.934274;0.517756;2988.460000;201;600680.460000;0.792361;0.493079
78;30873.800000;645;19913601.000000;91595.300000;81.000000;91595.300000;2.966765;0.334600;17492.200000;337;5894871.400000;0.566571;0.296022;10018.400000;729;7303413.600000;0.324495;0.366755
79;1599.360000;133;212714.880000;3525.880000;44.000000;238147.000000;2.556057;1.519560;1049.080000;125;131135.000000;0.655937;0.616482;1121.040000;129;144614.160000;0.700930;0.679850
82;1001.490000;195;195290.550000;1843.920000;41.000000;75600.720000;1.841177;0.387119;1400.490000;106;148451.940000;1.398406;0.760159;760.117000;52;39526.084000;0.758986;0.202396
83;618.223000;196;121171.708000;831.367000;13.000000;10807.771000;1.344769;0.089194;428.674000;125;53584.250000;0.693397;0.442218;388.988000;49;19060.412000;0.629203;0.157301
84;787.321000;66;51963.186000;232.260000;9.000000;2090.340000;0.295000;0.040227;38.107000;85;3239.095000;0.048401;0.062334;110.699000;17;1881.883000;0.140602;0.036216
85;5387.110000;1;5387.110000;4284.050000;1.000000;4284.050000;0.795241;0.795241;4685.100000;1;4685.100000;0.869687;0.869687;5200.010000;1;5200.010000;0.965269;0.965269
86;1218.110000;259;315490.490000;1870.900000;193.000000;361083.700000;1.535904;1.144515;4510.980000;115;518762.700000;3.703262;1.644305;5128.590000;113;579530.670000;4.210285;1.836920
87;4172.840000;455;1898642.200000;2930.720000;1249.000000;3660469.280000;0.702332;1.927941;6958.990000;327;2275589.730000;1.667687;1.198535;4487.840000;481;2158651.040000;1.075488;1.136945
88;6365.720000;529;3367465.880000;17011.400000;97.000000;1650105.800000;2.672345;0.490014;7439.700000;569;4233189.300000;1.168713;1.257085;5513.010000;385;2122508.850000;0.866047;0.630299
89;912.474000;196;178844.904000;970.385000;193.000000;187284.305000;1.063466;1.047188;2519.760000;115;289772.400000;2.761460;1.620244;2452.150000;51;125059.650000;2.687364;0.699263
90;1041.620000;131;136452.220000;1304.920000;17.000000;22183.640000;1.252779;0.162574;842.847000;105;88498.935000;0.809169;0.648571;654.459000;33;21597.147000;0.628309;0.158276
91;414.880000;66;27382.080000;377.315000;9.000000;3395.835000;0.909456;0.124017;383.590000;85;32605.150000;0.924581;1.190748;364.958000;17;6204.286000;0.879671;0.226582
93;293.335000;1;293.335000;5.805000;1.000000;5.805000;1;1;38.839000;1;38.839000;1;1;19.486000;1;19.486000;1;1
94;669054.000000;194;129796476.000000;572140.000000;33.000000;18880620.000000;0.855148;0.145463;583548.000000;105;61272540.000000;0.872199;0.472066;572418.000000;65;37207170.000000;0.855563;0.286658
96;403.876000;67;27059.692000;2851.400000;13.000000;37068.200000;7.060088;1.369868;1246.500000;95;118417.500000;3.086343;4.376158;1229.750000;27;33203.250000;3.044870;1.227037
97;6380.410000;1;6380.410000;4975.270000;1.000000;4975.270000;1;1;25901.000000;1;25901.000000;1;1;26214.100000;1;26214.100000;1;1
98;2596.070000;66;171340.620000;2148.510000;129.000000;277157.790000;0.827601;1.617584;2098.520000;85;178374.200000;0.808345;1.041050;2691.870000;73;196506.510000;1.036902;1.146876
99;700.745000;133;93199.085000;2673.640000;65.000000;141841.000000;3.496583;2.521914;568.108000;125;71013.500000;0.810720;0.761955;2341.090000;51;119395.590000;3.340859;1.281081
