query_id;dop;predicted_time;actual_time;predicted_memory;actual_memory;Execution Time Q-error;Memory Q-error;Time Prediction Latency (s);Memory Prediction Latency (s)
6;128;7703.2207;7597.96;4272813.5;1662976;0.01385381117102491;1.5693777300454124;4.00543212890625e-05;5.53131103515625e-05
6;160;7786.8027;7384.27;2067538.0;2062336;0.05451219069386681;0.002522382385799382;3.647804260253906e-05;4.9591064453125e-05
7;8;25574.912;25003.6;3096702.5;3097600;0.022849194091050906;0.0002898244180704612;5.2928924560546875e-05;6.437301635742188e-05
7;16;17411.54;19317.9;6216674.0;6215680;0.10948836462170175;0.00015991814250404524;4.1961669921875e-05;6.29425048828125e-05
7;32;16042.588;16368.1;12363977.0;12364800;0.020290498739621965;6.656434252505505e-05;4.00543212890625e-05;5.984306335449219e-05
7;64;22872.82;25731.0;10683353.0;10683392;0.12495965291774724;3.6505393017360888e-06;4.029273986816406e-05;5.6743621826171875e-05
7;96;15813.867;16696.5;16447082.0;16447488;0.0558138500870724;2.468522987841837e-05;3.743171691894531e-05;5.698204040527344e-05
7;128;19179.123;20252.2;24293316.0;24325120;0.055950261672670365;0.001309166686013663;4.6253204345703125e-05;6.175041198730469e-05
7;160;24612.305;22860.1;29899790.0;30114816;0.07664903860875505;0.0071915555259751685;4.076957702636719e-05;7.200241088867188e-05
8;8;21135.059;21459.3;2426385.0;2427904;0.015341400867745048;0.0006260342031458865;4.1484832763671875e-05;6.604194641113281e-05
8;16;18984.027;17306.2;4969544.5;4973568;0.09694949461753577;0.0008096315467140958;4.00543212890625e-05;5.936622619628906e-05
8;32;15212.589;16543.5;9174220.0;9172992;0.08748748450588728;0.00013387126032604613;4.7206878662109375e-05;6.556510925292969e-05
8;64;19070.617;16986.3;18561024.0;18561024;0.1227057798049016;0.0;3.910064697265625e-05;5.459785461425781e-05
8;96;11997.715;12465.6;9209280.0;9204736;0.038997856037038314;0.0004936589164534766;3.910064697265625e-05;5.888938903808594e-05
8;128;24223.887;21792.5;9590487.0;9586688;0.11156988499483766;0.000396278673093331;3.743171691894531e-05;5.3882598876953125e-05
8;160;16805.115;14944.9;16444970.0;16463872;0.12447157454215163;0.001149409211448793;3.743171691894531e-05;5.173683166503906e-05
10;8;24530.615;23097.0;7145163.0;7170048;0.062069326508853884;0.0034827756903517137;3.886222839355469e-05;7.343292236328125e-05
10;16;14619.435;13817.4;8878145.0;8910848;0.05804525962283069;0.0036835397484495935;4.00543212890625e-05;5.9604644775390625e-05
10;32;12787.772;12390.7;9193788.0;8357888;0.03204600716162109;0.10001330479661852;3.886222839355469e-05;7.62939453125e-05
10;64;13836.139;11714.4;11915933.0;11915264;0.18112226591844238;5.614646893259412e-05;4.649162292480469e-05;6.341934204101562e-05
