Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
6;32;31;6.06023;6.368330535601079;430.08;479.03816015625;0.050839742980230085;0.11383500780378064;0.0005412101745605469;0.00018286705017089844
6;64;32;6.42929;6.444223706160859;822.272;1055.9127734375;0.0023227613252565504;0.28414049540480524;0.0005252361297607422;0.00019097328186035156
6;96;33;7.11622;7.093253555325313;1264.64;1702.7213125;0.0032377870740916137;0.3464079204358552;0.00052642822265625;0.000186920166015625
6;128;34;7.59796;7.8867001754932105;1662.976;2360.6098125;0.03800232897951705;0.41950924878049944;0.0005388259887695312;0.00018739700317382812
6;160;35;7.384270000000001;8.736190454190595;2062.336;3048.38290625;0.1830811243617303;0.4781213663777386;0.0005559921264648438;0.0001800060272216797
7;8;36;25.0036;24.685918591817842;3097.6;3621.4105;0.01286893201889816;0.1691020467458677;0.003030538558959961;0.0013298988342285156
7;16;37;19.3179;17.480212560793383;6215.68;7268.155;0.10512958196677724;0.16932580184308077;0.0027124881744384766;0.0008864402770996094
7;32;38;16.368100000000002;18.67630964296125;12364.8;14077.7;0.1410187891668091;0.13853034420289845;0.0024847984313964844;0.0008478164672851562
7;64;39;25.731;29.339686687907204;10683.392;11282.753;0.14024665531488112;0.05610212561703243;0.0026559829711914062;0.0010526180267333984
7;96;40;16.6965;18.50051449358525;16447.488;17741.165;0.10804746465338555;0.07865498974676255;0.0028281211853027344;0.0009758472442626953
7;128;41;20.252200000000002;22.67516158481501;24325.12;22916.188;0.11963942607790812;0.06148195328123518;0.002545595169067383;0.0008494853973388672
7;160;42;22.8601;27.139393388327584;30114.816;28280.4145;0.18719486740336144;0.06486473173863838;0.0027904510498046875;0.0008578300476074219
8;8;43;21.4593;15.484771146044135;2427.904;2987.91625;0.3858325575242463;0.2306566692917018;0.0030274391174316406;0.001379251480102539
8;16;44;17.3062;16.254056067124008;4973.568;6332.8445;0.06473116178084881;0.27330007350859575;0.0031213760375976562;0.0012848377227783203
8;32;45;16.5435;14.08814345254004;9172.992;11643.56;0.1742853169923726;0.26933066114087967;0.002704143524169922;0.009958028793334961
8;64;46;16.9863;16.48455883409083;18561.024;23710.971;0.030437039350519113;0.27746028451878524;0.0028154850006103516;0.0011582374572753906
8;96;47;12.4656;7.159681611562769;9204.736;12746.359;0.7410830084773965;0.38476095349176775;0.0029668807983398438;0.0012679100036621094
8;128;48;21.7925;7.781048510015011;9586.688;13931.61075;1.8007150928246762;0.45322459122483183;0.002786397933959961;0.0011179447174072266
8;160;49;14.9449;8.609458848449588;16463.872;21403.68375;0.735869845372606;0.30003948949554515;0.0029821395874023438;0.001100301742553711
10;8;50;23.097;16.375401134489056;7170.048;7329.623;0.4104692648630297;0.022255778482933364;0.0019381046295166016;0.0008454322814941406
10;16;51;13.8174;12.271200118783176;8910.848;9107.625;0.1260023360592173;0.022082859005113864;0.0019061565399169922;0.0008127689361572266
