query_id;dop;actual_time;predicted_time_mapping;thread_wise_time;actual_memory;predicted_memory_mapping;thread_wise_memory;q_error_mapping;q_error_thread_wise;q_error_mem_mapping;q_error_mem_thread_wise;mapping_inference_time;thread_wise_inference_time;memory_mapping_inference_time;memory_thread_wise_inference_time;time_difference_thread_wise;time_difference_thread_wise_ratio;memory_difference_thread_wise;memory_difference_thread_wise_ratio;q_error_improvement_thread_wise;q_error_mem_improvement_thread_wise
36;64;197.132;249.90499999999997;270.775;674816;1039433;56549.0;0.2677038735466588;0.37357202280705293;0.54032062073217;10.933296786857415;0.009192943572998047;0.0053386688232421875;0.005589008331298828;0.005466938018798828;20.870000000000005;0.08351173445909449;-982884.0;-0.9455963010602896;-0.10586814926039412;-10.392976166125244
38;64;346.572;345.21999999999997;345.22;16384;8733;8733.0;0.003916343201436856;0.003916343201436634;0.8761021413031032;0.8761021413031032;0.009441137313842773;0.005385637283325195;0.0062084197998046875;0.005442380905151367;5.684341886080802e-14;1.646585332854644e-16;0.0;0.0;2.220446049250313e-16;0.0
39;64;191.351;190.06099999999998;190.061;16384;8098;8098.0;0.006787294605416161;0.006787294605416161;1.0232156087922943;1.0232156087922943;0.010038137435913086;0.005696296691894531;0.006581306457519531;0.005862712860107422;2.842170943040401e-14;1.4953993418115242e-16;0.0;0.0;0.0;0.0
47;64;0.6809999999999999;0.012;0.012;51200;36;36.0;55.74999999999999;55.74999999999999;1421.2222222222222;1421.2222222222222;0.001497030258178711;0.0006906986236572266;0.0008013248443603516;0.0006949901580810547;0.0;0.0;0.0;0.0;0.0;0.0
51;64;2897.1079999999997;2799.463;3078.8959999999997;653312;1069502;82294.0;0.034879903752969676;0.06274809223542932;0.637046311716301;6.938756166913748;0.01114201545715332;0.006847858428955078;0.007487058639526367;0.006798505783081055;279.43299999999954;0.0998166434062531;-987208.0;-0.9230539073325716;-0.027868188482459644;-6.301709855197448
52;64;1380.491;1362.759;1507.805;686080;1078179;91305.0;0.013011838483546923;0.09222370881085062;0.5715062383395522;6.514155851267729;0.01074838638305664;0.006439685821533203;0.0068814754486083984;0.006319284439086914;145.04600000000005;0.10643554729779811;-986874.0;-0.9153155459343949;-0.0792118703273037;-5.942649612928177
62;64;136837.509;136835.40999999997;136835.40999999995;76800;33198;33198.0;1.5339596673324962e-05;1.5339596673547007e-05;1.31339237303452;1.31339237303452;0.00836324691772461;0.0047740936279296875;0.005136966705322266;0.0049228668212890625;-2.9103830456733704e-11;-2.1269224433013142e-16;0.0;0.0;-2.220446049250313e-16;0.0
67;64;684.864;975.9490000000001;1395.5919999999999;1344512;2368539;142256.0;0.4250259905616298;1.0377651621343795;0.761634704636329;8.45135530311551;0.008942604064941406;0.006767749786376953;0.006072282791137695;0.005211591720581055;419.6429999999998;0.42998455861935386;-2226283.0;-0.939939346576096;-0.6127391715727497;-7.689720598479182
69;64;2895.308;2772.7030000000004;2982.8010000000004;713728;1055046;66328.0;0.04421858381514343;0.030218892083329507;0.47821859307747494;9.760583765528887;0.011857986450195312;0.006840705871582031;0.007328987121582031;0.0071637630462646484;210.09799999999996;0.07577371251086032;-988718.0;-0.9371325989577706;0.013999691731813924;-9.282365172451412
71;64;27404.691;27205.371000000003;27559.73;1362944;2337044;149138.0;0.007326494463170352;0.005657389094443799;0.714702878474831;8.138811034075822;0.012383222579956055;0.0072286128997802734;0.007588863372802734;0.0072994232177734375;354.35899999999674;0.01302533238749057;-2187906.0;-0.9361851980536096;0.0016691053687265534;-7.42410815560099
93;64;9202.396999999999;9199.084;9199.083999999997;143360;21049;21049.0;0.00036014455352284536;0.0003601445535230674;5.81077485866312;5.81077485866312;0.014357328414916992;0.008875131607055664;0.009761333465576172;0.009092330932617188;-3.637978807091713e-12;-3.954718542728507e-16;0.0;0.0;-2.220446049250313e-16;0.0
98;64;919.357;866.4550000000002;1058.424;754688;1075003;82294.0;0.061055680906682674;0.15126550404249928;0.4244336732530529;8.170632123848641;0.01690387725830078;0.010549306869506836;0.011549711227416992;0.01108694076538086;191.96899999999982;0.2215568032961894;-992709.0;-0.9234476554949149;-0.0902098231358166;-7.746198450595588
111;64;694.979;692.309;692.3090000000001;239616;159523;159523.0;0.0038566593818656347;0.0038566593818656347;0.5020780702469236;0.5020780702469236;0.015894412994384766;0.008928298950195312;0.010437250137329102;0.009041309356689453;1.1368683772161603e-13;1.6421401097142467e-16;0.0;0.0;0.0;0.0
